display_name,full_address,space_type,decade,year,lat,lon,amenities
Ft. Dicks,"178 Christopher St., Greenwich Village & Chelsea",Other,1980s,1983,40.732275,-74.009702,(*)
Fulton'S Sidewalk Cafe,"2061 Broadway, Uptown",Restaurant / Cafe,1980s,1983,40.7783359,-73.982044,(R-1965-1989)
G.H. Club,"353 E. 53rd St., Midtown",Other,1980s,1983,40.7560503,-73.965129,(PE)
Gaiety Male Burlesk,"201 W. 46th St., Midtown",Other,1980s,1983,40.7577216,-73.982597,
Gay Switchboard,Greenwich Village,Other,1980s,1983,40.733572,-74.002742,
Grand Central & Penn Stations,Midtown,Other,1980s,1983,40.752726,-73.977229,Cruisy Area
Grapevine,"161 W. 47th St., Midtown",Other,1980s,1983,40.7590972,-73.983801,"(*),(RT)"
Greenwich Ave. Betw.,Greenwich Village,Other,1980s,1983,40.736586,-74.001107,Cruisy Area
Haymarket,"772 8th Ave., Midtown",Other,1980s,1983,40.7605341,-73.987166,
Heavenly Host,"463 Hudson Ave., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.731578,-74.006899,"(M-1965-1989),(R-1965-1989)"
Hide-A-Way,"96-31 Parsons, Jamaica",Other,1980s,1983,40.7095458,-73.80541,"(B-1970-1989),(RT)"
Hornblowers On Horatio,"59 Horatio, Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.7389046,-74.006337,"(M-1965-1989),(R-1965-1989)"
Hudson St.,Greenwich Village,Other,1980s,1983,40.740885,-74.005162,Cruisy Area
Ice Palace 57,"57 W. 57th St., Midtown",Other,1980s,1983,40.7643578,-73.976817,"(YC),(D),(*)"
Incentra Village House,"32 8th Ave., Greenwich Village & Chelsea",Hotel / Accommodation,1980s,1983,40.7378937,-74.004232,(H-1965-1989)
Jan Wallman'S,"28 Cornelia St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.7311877,-74.002354,"(R-1965-1989),(E)"
Jason'S Park Royal,"23 W. 73rd St., Uptown",Restaurant / Cafe,1980s,1983,40.777703,-73.976713,(R-1965-1989)
Jasper'S,"305 Columbus Ave., Uptown",Other,1980s,1983,40.7788905,-73.977333,(*)
Jewel Theatre,"100 3rd Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7325484,-73.988218,
Johnny'S Pub,"123 E. 47 th St., Midtown",Restaurant / Cafe,1980s,1983,40.754663,-73.973309,"(R-1965-1989),(S-1965-2002)"
Joseph'S,"84-02 37th Ave., Queens",Other,1980s,1983,40.7497292,-73.882269,
Julius,"159 W. 10th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7345329,-74.001712,(*)
Kathy'S,"130-04 Atlantic Ave., Richmond Hill",Other,1980s,1983,40.6957404,-73.818649,(L-1980-1989)
Keller'S,"384 West St., Greenwich Village & Chelsea",Other,1980s,1983,40.732003,-74.010276,"(*),(WE)"
Kelly'S Village West,"46 Bedford, Greenwich Village & Chelsea",Other,1980s,1983,40.730584,-74.004156,(L-1980-1989)
La Cage Aux Folles,"334 E. 73rd St., Uptown",Other,1980s,1983,40.7686442,-73.956266,(E)
La Fiesta,"253 W. 46th St., Midtown",Other,1980s,1983,40.7597942,-73.987466,(PT)
La Palma,"343 W. 46th St., Midtown",Restaurant / Cafe,1980s,1983,40.7606004,-73.989508,"(R-1965-1989),(*)"
La Stanza,"953 1st Ave., Midtown",Restaurant / Cafe,1980s,1983,40.7555229,-73.965291,"(R-1965-1989),(*)"
Last Call,"975 2nd Ave., Midtown",Other,1980s,1983,40.756013,-73.96806,"(D),(PT),(*)"
Last Resort,"153 1st Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7285656,-73.984915,
Le Salon,"287 Amsterdam Ave., Uptown",Other,1980s,1983,40.7795883,-73.980587,(*)
Leather Man,"85 & 111 Christopher St., Greenwich Village",Other,1980s,1983,40.733642,-74.003869,
Les Hommes Book Shop,"217 W. 80th St., Uptown",Other,1980s,1983,40.7844536,-73.978671,(*)
Les Mouches,"260 W. 11th Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7360179,-74.003812,"(P-1965-1989),(YC),(D),(E),(M-1965-1989),(*)"
Lincoln Center,Uptown,Other,1980s,1983,40.772464,-73.983489,Cruisy Area
Loft,"313 Amsterdam Ave., Uptown",Other,1980s,1983,40.7802967,-73.980157,
Long Horn Guest House,"135 Greene St., Greenwich Village & Chelsea",Hotel / Accommodation,1980s,1983,40.7258729,-73.998911,(H-1965-1989)
Long Horn Guest House,"135 Greene St., Greenwich Village & Chelsea",Hotel / Accommodation,1980s,1983,40.7258729,-73.998911,(H-1965-1989)
M.C.C.,"26 9th Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7404474,-74.005484,(MCC)
M.C.C.,"26 9th Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7404474,-74.005484,(MCC)
Madison Card & Book Shop,"123 E. 57th St., Midtown",Other,1980s,1983,40.7613431,-73.96984,
Man Hole,"28 9th Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7402701,-74.005602,"(P-1965-1989),(SM),(W-1972-1989),(AH)"
Man Hole,"28 9th Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7402701,-74.005602,"(P-1965-1989),(SM),(W-1972-1989)"
Man'S Country,"28 W. 15th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7371787,-73.994779,(B-1970-1989)
Man'S Country,"28 W. 15th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7371787,-73.994779,(B-1970-1989)
Maneuvers,"23rd St., Greenwich Village & Chelsea",Other,1980s,1983,40.7453063,-73.998475,
Maneuvers,"23rd St., Greenwich Village & Chelsea",Other,1980s,1983,40.7453063,-73.998475,
Marie'S Crisis,"59 Grove St., Greenwich Village & Chelsea",Other,1980s,1983,40.7332382,-74.003397,
Marie'S Crisis,"59 Grove St., Greenwich Village & Chelsea",Other,1980s,1983,40.7332382,-74.003397,
Mcfeeley'S,"565 W. 23rd St., Greenwich Village & Chelsea",Other,1980s,1983,40.7489475,-74.00674,
Metropolitan Museum,Uptown,Other,1980s,1983,40.779437,-73.963244,Cruisy Area
Metropolitan Theatre,Greenwich Village,Other,1980s,1983,40.732874,-73.985528,Cruisy Area
Michael'S Thing,"200 W. 72nd St., Uptown",Other,1980s,1983,40.7787744,-73.982542,
Mickey'S,"44 W. 55th St., Midtown",Other,1980s,1983,40.762288,-73.976892,"(E),(R-1965-1989)"
Mineshaft,"835 Washington St., Greenwich Village & Chelsea",Other,1980s,1983,40.7403979,-74.00768,"(*),(SM),(P-1965-1989),(W-1972-1989)"
Mt. Morris Baths,"1944 Madison Ave., Uptown",Other,1980s,1983,40.805547,-73.940981,(B-1970-1989)
New David Cinema,"236 W. 54th St., Midtown",Other,1980s,1983,40.7641217,-73.983233,
New Everhards Baths,"28 W. 28th St., Midtown",Other,1980s,1983,40.7452989,-73.989293,"(*),(B-1970-1989),(SM),(FFA)"
New St. Marks Baths,"6 St. Marks Place, Greenwich Village & Chelsea",Other,1980s,1983,40.72909,-73.989568,(*)
New St. Marks Baths,"8th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7329524,-73.998005,(*)
New York Wrestling Club,"59 W. 10th St., Greenwich Village & Chelsea",Bathhouse / Health Club,1980s,1983,40.734646,-73.998016,
Nickel Bar,"127 W. 72nd St., Uptown",Other,1980s,1983,40.7779885,-73.979674,"(B-1970-1989),(YC),(D),(*)"
Night Wing,"118 Greenwich Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.738523,-74.002079,"(L-1980-1989),(E),(R-1965-1989)"
Ninety Six West,"168 W. 96th St., Midtown",Other,1980s,1983,40.79354,-73.969745,
Ninth Circle,"139 W. 10th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7347958,-74.000799,"(*),(Hip),(YC)"
Northern Men'S Sauna,"137-08 Northern Blvd., Queens",Other,1980s,1983,40.7629508,-73.830838,
O'Neill'S Backyard,"231 W. 48th St., Midtown",Other,1980s,1983,40.7605303,-73.985402,
Old Forge Steak House,"3rd Ave., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.7612586,-73.966823,"(M-1965-1989),(R-1965-1989)"
On Stage Cabaret,"349 W. 46th St., Midtown",Other,1980s,1983,40.7607084,-73.989657,"(E),(R-1965-1989)"
"One If By Land, Two If By Sea","17 Barrow St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.7324944,-74.002584,"(M-1965-1989),(PE),(R-1965-1989)"
One Potato,"518 Hudson St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.7336903,-74.006078,"(*),(R-1965-1989)"
Oscar Wilde Memorial Book Store,"15 Christopher St., Greenwich Village & Chelsea",Other,1980s,1983,40.7342158,-74.000564,(*)
Ossi Guest House,"358 W. 30th St., Midtown",Hotel / Accommodation,1980s,1983,40.7504311,-73.997538,(H-1965-1989)
Our Place,"77-02 Broadway, Queens",Other,1980s,1983,40.7451386,-73.888169,
Pandora Books,"88 Court St., Brooklyn",Other,1980s,1983,40.6912319,-73.991843,
Paradise Garage,"84 King St., Greenwich Village & Chelsea",Other,1980s,1983,40.7278179,-74.006454,"(WE),(P-1965-1989),(B-1970-1989),(D),(*)"
Paula'S,"64 Greenwich Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7361254,-74.000621,"(L-1980-1989),(M-1965-1989),(PT)"
Peaches'N Cream,"408 E. 64th St., Uptown",Other,1980s,1983,40.7622998,-73.959128,(D)
Pennyfeathers,"89 7th Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7327525,-74.003043,"(M-1965-1989),(R-1965-1989)"
Pershings,"234 Columbus Ave., Uptown",Restaurant / Cafe,1980s,1983,40.7766645,-73.979629,(R-1965-1989)
Peter Rabbit,"305 W. 10th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7332889,-74.009806,"(B-1970-1989),(D),(*)"
Pipe Line,"232 8th Ave., Chelsea",Other,1980s,1983,40.7443534,-73.998819,(*)
Pleasure Chest,"939 2nd A ve., Midtown",Other,1980s,1983,40.7548515,-73.968886,(*)
Pleasure Chest,"152 7th Ave. So., Greenwich Village & Chelsea",Other,1980s,1983,40.7352865,-74.002125,(*)
Pleasure Chest,"20 W. 20th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7400486,-73.992514,(*)
Postmark,"152 7th Ave. S., Greenwich Village & Chelsea",Other,1980s,1983,40.7352865,-74.002125,
Priory,"224 E. 53rd St., Midtown",Other,1980s,1983,40.7571427,-73.968486,
Pyram Id Bar,"101 Ave. A, Greenwich Village & Chelsea",Other,1980s,1983,40.7335719,-74.002742,(D)
Queens College,Queens,Other,1980s,1983,40.736644,-73.820089,Cruisy Area
Ramrod,"394 West St., Greenwich Village & Chelsea",Other,1980s,1983,40.7331559,-74.010158,"(*),(W-1972-1989),(SM),(FFA)"
Rawhide,"212 8th A ve., Greenwich Village & Chelsea",Other,1980s,1983,40.7438381,-73.999296,"(W-1972-1989),(SM),(*)"
Razzle Dazzle,"1485 3rd Ave., Uptown",Other,1980s,1983,40.7772791,-73.954699,
Red Parrot,"617 W. 57th St., Midtown",Other,1980s,1983,40.7710043,-73.992365,"(*),(R-1965-1989),(M-1965-1989),(E),(D)"
Red Star Cafe,"12th & West St., Greenwich Village",Restaurant / Cafe,1980s,1983,40.737574,-74.009815,(R-1965-1989)
Regent East,"204 E. 58th St., Midtown",Other,1980s,1983,40.7605435,-73.966629,(E)
Reservations World,Brooklyn,Other,1980s,1983,40.678178,-73.944158,
Rhythms,"6826 New Utrecht Ave., Brooklyn",Other,1980s,1983,40.6206793,-73.998707,
Riis Park,Queens,Other,1980s,1983,40.566367,-73.870275,Cruisy Area
Ring,"180 Christopher St., Greenwich Village & Chelsea",Other,1980s,1983,40.7322754,-74.009977,"(P-1965-1989),(YC),(D),(WE),(*)"
River Club,"461 West St., Greenwich Village & Chelsea",Other,1980s,1983,40.7366531,-74.009687,"(M-1965-1989),(YC),(P-1965-1989),(D),(WE),(*)"
Riverside Park,Uptown,Other,1980s,1983,40.801234,-73.97231,Cruisy Area
Rockinghorse,"224 Columbus Ave., Uptown",Restaurant / Cafe,1980s,1983,40.7793619,-73.977152,(R-1965-1989)
Round Up Bar,"438 Hudson St., Greenwich Village & Chelsea",Other,1980s,1983,40.731133,-74.006463,
Round'S,"303 E. 53rd St., Midtown",Restaurant / Cafe,1980s,1983,40.756689,-73.966667,"(R-1965-1989),(*)"
Roxy Roller Rink,"515 W. 18th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7452071,-74.007175,
Saint,"105 2nd Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.727693,-73.988727,"(P-1965-1989),(YC),(D),(*)"
Sal'S Place,"79 Pineapple St., Brooklyn Heights",Other,1980s,1983,40.6981042,-73.992493,"(YC),(D),(*)"
Sauna Baths,"300 W. 58th St., Midtown",Other,1980s,1983,40.7674935,-73.982855,
Sheridan Sq. Health Club,"4th St., Greenwich Village & Chelsea",Bathhouse / Health Club,1980s,1983,40.7348952,-74.003163,(M-1965-1989)
Sheridan Sq. Health Club,"Christopher St., Greenwich Village",Bathhouse / Health Club,1980s,1983,40.733644,-74.002801,(M-1965-1989)
Sheridan Square,Greenwich Village,Other,1980s,1983,40.733644,-74.002801,Cruisy Area
Show Palace,"670 8th Ave., Midtown",Other,1980s,1983,40.7575432,-73.989283,(*)
Silouette,"53 W. 19th St., Greenwich Village & Chelsea",Other,1980s,1983,40.740279,-73.993731,(L-1980-1989)
Singles,"951 1st Ave., Midtown",Restaurant / Cafe,1980s,1983,40.7554583,-73.965261,"(*),(R-1965-1989)"
Sneakers,"392 West St., Greenwich Village & Chelsea",Other,1980s,1983,40.7328957,-74.010064,
South Dakota,"405 3rd Ave., Midtown",Other,1980s,1983,40.7422753,-73.980474,
Spike Bar,"120 11th Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7469353,-74.007581,"(PT),(WE),(W-1972-1989),(SM),(*)"
St. Marks Baths,"6 St. Marks Place, Greenwich Village",Other,1980s,1983,40.72909,-73.989568,(*)
Stix,"304 E. 39th St., Midtown",Other,1980s,1983,40.7475538,-73.973073,"(D),(*)"
Subway Stations,Midtown,Other,1980s,1983,40.768687,-73.958443,"Cruisy Area,(AYOR)"
T.J.'S,"957 1st Ave., Midtown",Other,1980s,1983,40.755601,-73.965309,"(E),(*)"
The Bar,"68 2nd Ave., Greenwich Village & Chelsea",Other,1980s,1983,40.7259843,-73.989384,
The Works,"Columbus at 80th St., Uptown",Other,1980s,1983,40.782644,-73.975003,(*)
Third Ave.,Uptown,Other,1980s,1983,40.762177,-73.966123,Cruisy Area
Times Square,Midtown,Other,1980s,1983,40.757975,-73.985543,Cruisy Area
Tom Cat Book Store,"38 W. 28th St., Midtown",Other,1980s,1983,40.7454828,-73.989637,(*)
Trilogy,"135 Christopher St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.7331512,-74.006945,"(R-1965-1989),(YC),(*)"
Twenty Nine Palms,"129 Lexington, Midtown",Other,1980s,1983,40.7428629,-73.982022,
Twilight,"1463 3rd Ave., Uptown",Other,1980s,1983,40.776502,-73.955304,
Two Twenty Club,"220 W. Houston, Greenwich Village & Chelsea",Other,1980s,1983,40.7287585,-74.004558,"(M-1965-1989),(C-1965-1989),(AH),(P-1965-1989)"
Ty'S,"114 Christopher St., Greenwich Village & Chelsea",Other,1980s,1983,40.7330387,-74.005299,"(W-1972-1989),(*)"
Uncle Charlie'S North,"1049 Lexington Ave., Uptown",Other,1980s,1983,40.7720799,-73.960755,"(*),(YC)"
Uncle Charlie'S Restaurant,"542 3rd Ave., Midtown",Restaurant / Cafe,1980s,1983,40.7472189,-73.977393,"(R-1965-1989),(*)"
Uncle Charlie'S South,"581 3rd Ave., Midtown",Other,1980s,1983,40.7482465,-73.975981,"(*),(YC)"
Unde Charlie'S Downtown,"56 Greenwich Ave., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.7359015,-74.000472,"(*),(R-1965-1989)"
Underground,"390 West St., Greenwich Village & Chelsea",Other,1980s,1983,40.7328681,-74.010003,
Upstream,"150 E. 39th St., Midtown",Restaurant / Cafe,1980s,1983,40.7489783,-73.976533,"(M-1965-1989),(R-1965-1989)"
Village Green,"531 Hudson St., Greenwich Village & Chelsea",Other,1980s,1983,40.7342517,-74.006492,"(R-1965-1989),(*)"
Village Stix,"139 Christopher St., Greenwich Village & Chelsea",Other,1980s,1983,40.733018,-74.007169,(H-1965-1989)
Warehouse Pier 51,"324 Amsterdam Ave., Uptown",Other,1980s,1983,40.7809384,-73.980291,(YC)
Weehawken St.,Greenwich Village,Other,1980s,1983,40.733208,-74.009812,Cruisy Area
Wendell'S Cards & Books,"302 W. 12th St., Greenwich Village & Chelsea",Other,1980s,1983,40.7373796,-74.004651,
West St.,Greenwich Village,Other,1980s,1983,40.723629,-74.011577,Cruisy Area
West World,"355 West St., Greenwich Village & Chelsea",Other,1980s,1983,40.7297945,-74.010792,
Wildwood Tavern,"308 Columbus Ave., Uptown",Other,1980s,1983,40.7790129,-73.977616,(*)
Womanbooks,"201 W. 92nd St., Uptown",Other,1980s,1983,40.7917966,-73.972555,(L-1980-1989)
Ye Waverly Inn,"16 Bank St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1983,40.7369054,-74.002266,(R-1965-1989)
York'S Restaurant,"710 2nd Ave., Midtown",Restaurant / Cafe,1980s,1983,40.7472917,-73.973528,"(R-1965-1989),(*)"
Zipperz,"480 Main St., New Rochelle",Other,1980s,1983,40.9092703,-73.780771,"(YC),(D),(*)"
Vaseline Alley',Queens,Other,1980s,1984,40.747118,-73.892407,"Cruisy Area,(AYOR)"
17Th St. Saloon,"17th St. & 8th Ave., Greenwich Village",Other,1980s,1984,40.741674,-74.001126,
23Rd St. Saloon,"23rd St. & 11th Ave., Greenwich Village",Restaurant / Cafe,1980s,1984,40.748882,-74.006917,"(PE),(R-1965-1989)"
42Nd St. Barracks,"226 W . 42nd St., Midtown",Other,1980s,1984,40.7563193,-73.988233,(B-1970-1989)
55Th St. Playhouse,"55th St. nr. 7th Ave., Midtown",Other,1980s,1984,40.763743,-73.980443,
75Th St.,Uptown,Other,1980s,1984,40.78019,-73.978736,Cruisy Area
78-80 Christopher St.,"78 Christopher St., Greenwich Village & Chelsea",Other,1980s,1984,40.7334049,-74.003507,(*)
96 West,"168 W. 96th St., Uptown",Other,1980s,1984,40.79354,-73.969745,"(D),(B-1970-1989)"
220 Club,"220 W. Houston, Greenwich Village & Chelsea",Other,1980s,1984,40.7287585,-74.004558,"(AH),(S-1965-2002)"
Adonis Cinema,"8th Ave. at 50th St., Midtown",Other,1980s,1984,40.762858,-73.986054,(*)
Adult Fair,"Astoria Blvd. at 90th St., Queens",Other,1980s,1984,40.763599,-73.87925,
Alex,"28 10th Ave., Greenwich Village & Chelsea",Other,1980s,1984,40.7410044,-74.008619,(AH)
Alex In Wonderland,"13th St. at West, Greenwich Village",Other,1980s,1984,40.738396,-74.001439,"(D),(PT),(F&S),(*)"
Ansonia Bath & Health Club,"2109 Broadway at 73rd, Uptown",Other,1980s,1984,40.780042,-73.982314,(OC)
Anvil,"500 W. 14th at 11th Ave., Greenwich Village",Other,1980s,1984,40.742114,-74.008505,"(P-1965-1989),(D),(RT),(AYOR),(F&S)"
Ariel,"53 W. 19th St., Greenwich Village & Chelsea",Other,1980s,1984,40.740279,-73.993731,(L-1980-1989)
Backstage,"318 W. 45th St., Midtown",Other,1980s,1984,40.7594733,-73.989428,"(M-1965-1989),(R-1965-1989),(E)"
Badlands,"Christopher & West Sts., Greenwich Village",Other,1980s,1984,40.732817,-74.010034,"(W-1972-1989),(SM)"
Barbary Coast,"64 7th Ave. at 14th St., Greenwich Village",Other,1980s,1984,40.738867,-73.999722,
Beacon Baths,"227 W. 45th St., Midtown",Other,1980s,1984,40.7584643,-73.98632,(OC)
Beekman Place,Uptown,Other,1980s,1984,40.753309,-73.964796,Cruisy Area
Beritz,"7507 Utrecht, Brooklyn",Other,1980s,1984,40.6131601,-73.995972,"(*),(D),(S-1965-2002)"
Beth Simchat Torah,"55 Bethune, Greenwich Village & Chelsea",Other,1980s,1984,40.7366072,-74.008811,
Better Days,"316 W. 49th St., Midtown",Other,1980s,1984,40.7619279,-73.987725,"(B-1970-1989),(D),(*)"
Big Top Theatre,"1604 Broadway at 49th St., Midtown",Other,1980s,1984,40.760467,-73.984251,"(S-1965-2002),(E),(D)"
Big Wok,"753 Washington St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1984,40.7368806,-74.008095,"(M-1965-1989),(R-1965-1989),(*)"
Bike Stop West,"230 W. 75th St., Uptown",Other,1980s,1984,40.781064,-73.982005,"(WE),(*)"
Billy The Kid,"76-07 Roosevelt Ave., Queens",Other,1980s,1984,40.7473326,-73.889296,"(YC),(W-1972-1989),(SM),(PT)"
Bleecker & Hudson Sts.,Greenwich Village,Other,1980s,1984,40.736899,-74.005524,Cruisy Area
Blue Fox,"131 8th Ave., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1984,40.7413965,-74.001552,"(R-1965-1989),(*)"
Blue Skies,"183 W . 10th St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1984,40.7343755,-74.002848,(R-1965-1989)
Bogart'S,"320 E. 59th St., Midtown",Restaurant / Cafe,1980s,1984,40.7599967,-73.963406,(R-1965-1989)
Boot Hill,"317 Amsterdam Ave. nr. 75th, Uptown",Other,1980s,1984,40.780417,-73.979991,"(*),(W-1972-1989),(YC),(SM)"
Boots & Saddle,"76 Christopher St., Greenwich Village & Chelsea",Other,1980s,1984,40.7334603,-74.003403,"(W-1972-1989),(SM),(*)"
Brandy'S,"235 E. 84th St., Uptown",Other,1980s,1984,40.7771167,-73.953456,"(E),(S-1965-2002),(WE)"
Breadstix,"113-24 Queens Blvd. at 76th Rd., Queens",Other,1980s,1984,40.746137,-73.934568,
Broadway Arms,"218 W. 49th St., Midtown",Other,1980s,1984,40.7608374,-73.98523,(D)
Brooklyn'S 'Promenade',Brooklyn,Other,1980s,1984,40.695221,-73.995855,Cruisy Area
Cafe Society,"43 E. 20th St., Greenwich Village & Chelsea",Other,1980s,1984,40.738836,-73.988448,"(R-1965-1989),(L-1980-1989)"
Cahoots,"428 Columbus at 81st. St., Uptown",Other,1980s,1984,40.783124,-73.975025,"(R-1965-1989),(E),(*)"
Candle Bar,"309 Amsterdam betw. 74th & 75th, Uptown",Other,1980s,1984,40.780133,-73.980233,(SM)
Candle Ii,"168 Amsterdam Ave, Uptown",Other,1980s,1984,40.8398924,-73.936968,"(P-1965-1989),(AH),(F&S)"
Caroline'S,"332 8th Ave., Midtown",Restaurant / Cafe,1980s,1984,40.7475293,-73.99661,"(R-1965-1989),(E)"
Casa Paco,"330 Bleecker St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1984,40.7336427,-74.00457,"(M-1965-1989),(R-1965-1989)"
Central Park,Schenectady,Other,1980s,1984,40.78122,-73.966514,Cruisy Area
Central Park,Uptown,Other,1980s,1984,40.773823,-73.970818,Cruisy Area
Central Park West,Uptown,Other,1980s,1984,40.784612,-73.969822,Cruisy Area
Centre Bar,"29 St. Marks Pl., Greenwich Village & Chelsea",Other,1980s,1984,40.7290451,-73.988309,
Chap'S,"1558 3rd Ave. at 87th St., Uptown",Other,1980s,1984,40.779939,-73.953502,"(*),(PT)"
Charlie & Kelly'S,"259 W. 4th St. at Perry, Greenwich Village",Other,1980s,1984,40.735426,-74.003141,"(M-1965-1989),(R-1965-1989)"
Cheeks,"64-04 Roosevelt Ave., Queens",Other,1980s,1984,40.7457891,-73.899925,(P-1965-1989)
Chelsea Big Wok,"207 10th Ave., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1984,40.7473276,-74.004704,"(M-1965-1989),(R-1965-1989)"
Christopher St. Book Shop,"500 Hudson St. at Christopher, Greenwich Village",Other,1980s,1984,40.73299,-74.006136,(*)
"Christopher St.,",Greenwich Village,Other,1980s,1984,40.733336,-74.004624,Cruisy Area
Christophers,"115 Christopher St., Greenwich Village & Chelsea",Other,1980s,1984,40.7334062,-74.005436,"(E),(R-1965-1989),(*)"
Church Of The Beloved Disciple,"348 W. 14th St., Greenwich Village & Chelsea",Other,1980s,1984,40.7404517,-74.004747,
Club 71,"71 Pineapple St., Brooklyn",Other,1980s,1984,40.6983742,-73.993038,
Club Baths,"24 1st Ave. at 2nd St., Greenwich Village",Other,1980s,1984,40.723485,-73.988183,"(*),(W-1972-1989),(SM),(YC)"
Collage,"63-12 Broadway, Queens",Other,1980s,1984,40.7496289,-73.898858,(D)
Community Book Stores,"162 Montague St., Brooklyn",Other,1980s,1984,40.6941905,-73.992805,
Community Book Stores,"143 7th Ave., Brooklyn",Other,1980s,1984,40.6726651,-73.976426,
Company,"365 3rd Ave. at 27th St., Midtown",Restaurant / Cafe,1980s,1984,40.740856,-73.981195,(R-1965-1989)
Consulate Hotel,"224 W. 49th St., Midtown",Hotel / Accommodation,1980s,1984,40.7609782,-73.98551,"(M-1965-1989),(H-1965-1989)"
Crisco'S,"15thSt.&9thAve., Greenwich Village",Other,1980s,1984,40.741605,-74.004826,"(P-1965-1989),(YC),(D),(AH),(*)"
Crossroad,"858 9th Ave. nr. 55th St., Midtown",Other,1980s,1984,40.766902,-73.986102,
Dakota,"550 3rd Ave. at 36th St., Midtown",Other,1980s,1984,40.747435,-73.977246,(PT)
Dallas,"243 E. 53rd St., Midtown",Other,1980s,1984,40.7572336,-73.967694,(*)
Danny'S Of Brooklyn Heights,"108 Montague St., Brooklyn",Other,1980s,1984,40.6948774,-73.995194,(D)
Dignity,"40 W. 16th St., Greenwich Village & Chelsea",Other,1980s,1984,40.7381401,-73.995066,
Djuna Books,"154 W. 10th St., Greenwich Village & Chelsea",Other,1980s,1984,40.734387,-74.00154,(L-1980-1989)
Dorest Hotel,Midtown,Other,1980s,1984,40.754931,-73.984019,Cruisy Area
Duplex,"55 Grove St., Greenwich Village & Chelsea",Other,1980s,1984,40.733207,-74.003542,"(E),(*)"
Eagle'S Nest,"21st St. at 11th Ave., Greenwich Village",Other,1980s,1984,40.747505,-74.00774,"(SM),(*)"
East Five Three,"244 E. 53rd St., Midtown",Other,1980s,1984,40.7568649,-73.967889,"(R-1965-1989),(E),(*)"
Eastside Sauna,"227 E. 56th St., Midtown",Other,1980s,1984,40.7593466,-73.966823,(*)
El Castilla Rojo,"Carter Hdtel 252 W . 43rd St., Midtown",Other,1980s,1984,40.757172,-73.988099,"(YC),(D)"
Eric'S World,"P.O. Box 656, Midtown Sta. N.Y., N.Y. 10018, Midtown",Other,1980s,1984,40.755322,-73.993287,
Eros Male Cinema,"732 8th Ave., Midtown",Other,1980s,1984,40.7593364,-73.987943,(RT)
Farnie'S,"311 2nd Ave. at 18th Ave., Greenwich Village",Restaurant / Cafe,1980s,1984,40.735062,-73.983353,"(M-1965-1989),(R-1965-1989)"
Fedora'S,"239 W. 4th St., Greenwich Village & Chelsea",Restaurant / Cafe,1980s,1984,40.734537,-74.0029,"(M-1965-1989),(R-1965-1989)"
Five Oaks,"49 Grove St. at Bleecker, Greenwich Village",Restaurant / Cafe,1980s,1984,40.733158,-74.003797,"(M-1965-1989),(R-1965-1989),(E)"
Flavors,"120-31 83rd Ave., Queens",Other,1980s,1984,40.7087692,-73.831359,"(D),(YC),(*)"
Forest Park,Queens,Other,1980s,1984,40.703369,-73.863505,Cruisy Area
Freddy'S,"308 E. 49th St., Midtown",Other,1980s,1984,40.7538696,-73.968478,"(*),(R-1965-1989),(E)"
Freida'S Hideaway,"81-36 Baxter Ave., Queens",Other,1980s,1984,40.746008,-73.883437,
